segment_id,start_time,end_time,duration,segment_type
172,104.512,105.163,0.651,surrogacy
173,105.248,106.016,0.768,speech
174,106.123,106.293,0.171,surrogacy
175,106.432,106.72,0.288,speech
176,106.827,106.88,0.053,surrogacy
177,106.987,107.307,0.32,speech
178,107.36,108.352,0.992,surrogacy
179,108.459,108.576,0.117,speech
180,108.683,108.821,0.139,surrogacy
181,108.875,108.992,0.117,speech
182,109.141,109.749,0.608,surrogacy
183,110.229,110.304,0.075,speech
184,110.464,110.496,0.032,surrogacy
185,110.667,110.709,0.043,speech
186,110.891,110.933,0.043,surrogacy
187,111.104,111.136,0.032,speech
188,111.328,111.403,0.075,surrogacy
189,111.84,111.893,0.053,speech
190,112.043,112.085,0.043,surrogacy
191,112.245,112.288,0.043,speech
192,112.469,112.512,0.043,surrogacy
193,112.683,112.725,0.043,speech
194,112.907,112.981,0.075,surrogacy
195,113.109,113.173,0.064,speech
196,113.344,113.419,0.075,surrogacy
197,113.557,113.621,0.064,speech
198,113.792,113.835,0.043,surrogacy
199,114.251,114.357,0.107,speech
200,117.877,118.72,0.843,surrogacy
201,118.805,118.923,0.117,speech
202,119.029,120.565,1.536,surrogacy
203,120.629,121.024,0.395,speech
204,121.109,121.237,0.128,surrogacy
205,121.376,121.952,0.576,speech
206,122.528,122.603,0.075,surrogacy
207,122.731,122.773,0.043,speech
208,122.965,123.019,0.053,surrogacy
209,123.157,123.189,0.032,speech
210,123.381,123.435,0.053,surrogacy
211,123.573,123.627,0.053,speech
212,123.787,123.829,0.043,surrogacy
213,124.0,124.032,0.032,speech
214,124.213,124.267,0.053,surrogacy
215,124.395,124.437,0.043,speech
216,124.608,124.64,0.032,surrogacy
217,124.811,124.885,0.075,speech
218,125.013,125.077,0.064,surrogacy
219,125.227,125.301,0.075,speech
220,125.451,125.525,0.075,surrogacy
221,125.867,125.973,0.107,speech
222,128.789,129.451,0.661,surrogacy
223,129.589,131.189,1.6,speech
224,131.36,131.456,0.096,surrogacy
225,131.765,133.472,1.707,speech
226,133.579,133.696,0.117,surrogacy
227,133.792,134.037,0.245,speech
228,134.176,134.421,0.245,surrogacy
229,134.635,135.488,0.853,speech
230,135.584,136.885,1.301,surrogacy
231,137.365,137.408,0.043,speech
232,137.568,137.611,0.043,surrogacy
233,137.803,137.867,0.064,speech
234,137.995,138.069,0.075,surrogacy
235,138.229,138.272,0.043,speech
236,138.432,138.475,0.043,surrogacy
237,138.667,138.741,0.075,speech
238,138.869,138.944,0.075,surrogacy
239,139.083,139.157,0.075,speech
240,139.307,139.392,0.085,surrogacy
241,139.701,139.776,0.075,speech
242,140.288,140.331,0.043,surrogacy
243,140.48,140.523,0.043,speech
244,140.715,140.779,0.064,surrogacy
245,140.917,140.96,0.043,speech
246,141.376,141.419,0.043,surrogacy
247,141.589,141.611,0.021,speech
248,141.803,141.845,0.043,surrogacy
249,142.016,142.059,0.043,speech
250,142.475,142.517,0.043,surrogacy
251,142.688,142.741,0.053,speech
252,142.88,142.923,0.043,surrogacy
253,143.093,143.125,0.032,speech
254,143.296,143.328,0.032,surrogacy
255,143.499,143.552,0.053,speech
256,143.712,143.765,0.053,surrogacy
257,143.947,143.989,0.043,speech
258,144.395,144.491,0.096,surrogacy
259,146.944,147.883,0.939,speech
260,147.989,149.035,1.045,surrogacy
261,149.152,149.173,0.021,speech
262,149.184,151.029,1.845,surrogacy
263,151.179,152.416,1.237,speech
264,152.821,153.173,0.352,surrogacy
265,153.312,153.632,0.32,speech
266,153.717,154.784,1.067,surrogacy
267,155.36,155.403,0.043,speech
268,155.605,155.691,0.085,surrogacy
269,155.829,155.872,0.043,speech
270,156.267,156.309,0.043,surrogacy
271,156.469,156.512,0.043,speech
272,156.715,156.8,0.085,surrogacy
273,156.939,157.003,0.064,speech
274,157.152,157.227,0.075,surrogacy
275,157.376,157.419,0.043,speech
276,157.6,157.664,0.064,surrogacy
277,157.803,157.856,0.053,speech
278,158.027,158.091,0.064,surrogacy
279,158.432,158.475,0.043,speech
280,158.901,158.944,0.043,surrogacy
281,159.115,159.179,0.064,speech
282,159.339,159.392,0.053,surrogacy
283,159.541,159.595,0.053,speech
284,159.701,159.744,0.043,surrogacy
285,160.363,160.405,0.043,speech
286,160.768,160.843,0.075,surrogacy
287,161.003,161.056,0.053,speech
288,161.227,161.301,0.075,surrogacy
289,161.451,161.515,0.064,speech
290,161.717,161.771,0.053,surrogacy
291,162.187,162.283,0.096,speech
292,166.421,167.797,1.376,surrogacy
293,167.883,168.021,0.139,speech
